accession	record_id	tier
PRJNA748666	MMC2-04773	2
PRJNA756767	MMC2-05680	2
PRJNA763023	MMC2-00516	2
PRJNA766067	MMC2-04824	2
PRJNA766806	MMC2-05674	2
PRJNA767189	MMC2-00523	2
PRJNA767207	MMC2-04834	2
PRJNA767860	MMC2-00525	2
PRJNA777915	MMC2-04854	2
PRJNA778253	MMC2-04858	2
PRJNA779930	MMC2-04865	2
PRJNA780174	MMC2-09980	2
PRJNA780476	MMC2-04867	2
PRJNA781360	MMC2-00530	2
PRJNA781368	MMC2-00530	2
PRJNA782768	MMC2-04876	2
PRJNA788785	MMC2-02003	2
PRJNA792014	MMC2-04192	2
PRJNA800368	MMC2-04917	2
PRJNA801862	MMC2-04927	2
PRJNA813705	MMC2-00553	2
PRJNA817266	MMC2-04974	2
PRJNA824324	MMC2-04992	2
PRJNA826539	MMC2-12714	2
PRJNA830485	MMC2-04999	2
PRJNA835723	MMC2-05014	2
PRJNA849603	MMC2-12608	2
PRJNA853174	MMC2-05055	2
PRJNA854790	MMC2-00565	2
PRJNA856701	MMC2-05062	2
PRJNA859805	MMC2-05068	2
PRJNA861252	MMC2-05074	2
PRJNA861712	MMC2-05078	2
PRJNA865783	MMC2-02533	2
PRJNA874826	MMC2-05099	2
PRJNA880407	MMC2-05108	2
PRJNA894713	MMC2-05656	2
PRJNA895690	MMC2-05651	2
PRJNA901061	MMC2-05160	2
PRJNA901399	MMC2-05162	2
PRJNA905167	MMC2-05175	2
PRJNA910326	MMC2-04876	2
PRJNA914231	MMC2-00605	2
PRJNA914884	MMC2-05200	2
PRJNA924527	MMC2-05213	2
PRJNA934596	MMC2-05240	2
PRJNA940282	MMC2-00613	2
PRJNA941000	MMC2-05261	2
PRJNA941834	MMC2-00614	2
PRJNA961636	MMC2-05311	2
PRJNA976251	MMC2-05327	2
PRJNA982297	MMC2-04364	2
PRJNA996776	MMC2-03380	2
SRA026964	MMC2-02330	2
SRA049741	MMC2-02350	2
SRA054875	MMC2-02283	2
SRA057249	MMC2-02326	2
SRA059451	MMC2-02360	2
SRA759603	MMC2-02229	2
SRP009299	MMC2-02368	2
SRP009299	MMC2-05378	2
SRP009633	MMC2-00638	2
SRP012422	MMC2-05378	2
SRP034607	MMC2-07328	2
SRP057027	MMC2-05420	2
SRR5082444	MMC2-07030	2
SRR5082445	MMC2-07030	2
SRR5082446	MMC2-07030	2
SRR5082447	MMC2-07030	2
SRR5082448	MMC2-07030	2
SRR5082449	MMC2-07030	2
SRR5082450	MMC2-07030	2
SRR5082451	MMC2-07030	2
SRR5082452	MMC2-07030	2
SRR5082453	MMC2-07030	2
SRR5082454	MMC2-07030	2
SRR5082455	MMC2-07030	2
SRR5082456	MMC2-07030	2
SRR5082457	MMC2-07030	2
SRR5082458	MMC2-07030	2
SRR5082459	MMC2-07030	2
SRR5082460	MMC2-07030	2
SRR5082461	MMC2-07030	2
SRR5082462	MMC2-07030	2
SRR5082463	MMC2-07030	2
